Component,Arxiu,Linia,ID,Classes CSS,Num Fills,Nivell de Sospita (Basura?)
ClauerDeLaTerreta.jsx,src/components/ClauerDeLaTerreta.jsx,37,,max-w-2xl mx-auto bg-amber-50 dark:bg-neutral-900 p-8 rounded-[var(--radius-mestre;2rem)] shadow-2xl border border-amber-200 dark:border-neutral-800 isolate,4,
ClauerDeLaTerreta.jsx,src/components/ClauerDeLaTerreta.jsx,38,,flex items-center gap-4 mb-8,2,
ClauerDeLaTerreta.jsx,src/components/ClauerDeLaTerreta.jsx,39,,w-16 h-16 bg-amber-200 dark:bg-amber-900/30 text-amber-700 dark:text-[var(--sdp-taronja)] rounded-2xl flex items-center justify-center shadow-inner,1,
ClauerDeLaTerreta.jsx,src/components/ClauerDeLaTerreta.jsx,42,,,2,Contenidor simple sense classes/id
ClauerDeLaTerreta.jsx,src/components/ClauerDeLaTerreta.jsx,49,,bg-red-100 dark:bg-red-900/20 text-red-700 dark:text-red-400 px-4 py-3 rounded-xl flex items-start gap-3 mb-6 animate-in slide-in-from-top-2,2,
ClauerDeLaTerreta.jsx,src/components/ClauerDeLaTerreta.jsx,55,,bg-white dark:bg-neutral-800 p-6 rounded-2xl shadow-sm border border-neutral-200 dark:border-neutral-700 mb-8,1,
ClauerDeLaTerreta.jsx,src/components/ClauerDeLaTerreta.jsx,56,,grid grid-cols-2 md:grid-cols-3 lg:grid-cols-4 gap-4,1,
ClauerDeLaTerreta.jsx,src/components/ClauerDeLaTerreta.jsx,58,,relative,2,
ClauerVisual.jsx,src/components/ClauerVisual.jsx,59,,clauer-contenidor,5,
ClauerVisual.jsx,src/components/ClauerVisual.jsx,62,,empremta,0,DIV Buit (Sense contingut)
ClauerVisual.jsx,src/components/ClauerVisual.jsx,68,,llista-paraules,1,
ClauerVisual.jsx,src/components/ClauerVisual.jsx,70,,,3,Contenidor simple sense classes/id
ClauerVisual.jsx,src/components/ClauerVisual.jsx,80,,recuperacio,3,
ClauerVisual.jsx,src/components/ClauerVisual.jsx,88,,indicador-estat,1,
Mercat.jsx,src/components/Mercat.jsx,21,,max-w-4xl mx-auto py-8,4,
Mercat.jsx,src/components/Mercat.jsx,22,,flex flex-col md:flex-row justify-between items-center mb-10 gap-4,2,
Mercat.jsx,src/components/Mercat.jsx,32,,grid md:grid-cols-2 gap-6,1,
Mercat.jsx,src/components/Mercat.jsx,48,,text-center py-24 bg-white rounded-3xl border border-slate-100 shadow-sm mt-8,3,
Mercat.jsx,src/components/Mercat.jsx,49,,mx-auto w-32 h-32 bg-orange-100 rounded-full flex items-center justify-center text-6xl mb-8,1,
MurFeed.jsx,src/components/MurFeed.jsx,24,,text-center py-12 font-medium text-slate-500,1,
MurFeed.jsx,src/components/MurFeed.jsx,28,,max-w-2xl mx-auto py-8,3,
MurFeed.jsx,src/components/MurFeed.jsx,30,,mb-10 text-center,1,
MurFeed.jsx,src/components/MurFeed.jsx,31,,inline-block bg-white p-6 rounded-3xl border-2 border-orange-400 shadow-sm,1,
MurFeed.jsx,src/components/MurFeed.jsx,36,,space-y-6,3,
MurFeed.jsx,src/components/MurFeed.jsx,52,,text-center py-20 border-2 border-dashed border-orange-300 rounded-3xl bg-orange-50/50,5,
MurFeed.jsx,src/components/MurFeed.jsx,53,,text-6xl mb-6,1,
MurFeed.jsx,src/components/MurFeed.jsx,57,,mt-8 text-sm text-slate-400 italic,1,
NavigationRail.jsx,src/components/NavigationRail.jsx,22,,p-4 flex items-center justify-center,2,
NavigationRail.jsx,src/components/NavigationRail.jsx,27,,flex-1 px-3 py-6 space-y-2,1,
NavigationRail.jsx,src/components/NavigationRail.jsx,44,,p-4 border-t border-white/10,1,
NouPost.jsx,src/components/NouPost.jsx,113,,max-w-2xl mx-auto px-4 py-10,1,
NouPost.jsx,src/components/NouPost.jsx,114,,bg-white border-2 border-orange-400 rounded-3xl p-8 shadow-xl relative overflow-hidden,6,
NouPost.jsx,src/components/NouPost.jsx,117,,absolute top-0 right-0 p-4 opacity-10 pointer-events-none,1,
NouPost.jsx,src/components/NouPost.jsx,121,,flex items-center gap-4 mb-8,2,
NouPost.jsx,src/components/NouPost.jsx,122,,w-16 h-16 bg-orange-100 rounded-2xl flex items-center justify-center text-4xl,1,
NouPost.jsx,src/components/NouPost.jsx,123,,,2,Contenidor simple sense classes/id
NouPost.jsx,src/components/NouPost.jsx,130,,flex gap-4 mb-8,2,
NouPost.jsx,src/components/NouPost.jsx,148,,,3,Contenidor simple sense classes/id
NouPost.jsx,src/components/NouPost.jsx,160,,,3,Contenidor simple sense classes/id
NouPost.jsx,src/components/NouPost.jsx,173,,grid grid-cols-2 gap-6,2,
NouPost.jsx,src/components/NouPost.jsx,174,,,2,Contenidor simple sense classes/id
NouPost.jsx,src/components/NouPost.jsx,184,,,2,Contenidor simple sense classes/id
NouPost.jsx,src/components/NouPost.jsx,201,,,3,Contenidor simple sense classes/id
NouPost.jsx,src/components/NouPost.jsx,203,,border-2 border-dashed border-orange-300 rounded-3xl p-8 text-center bg-orange-50/30 hover:bg-orange-50 transition-colors,2,
NouPost.jsx,src/components/NouPost.jsx,206,,text-4xl mb-2,1,
NouPost.jsx,src/components/NouPost.jsx,212,,mt-6 space-y-4,1,
NouPost.jsx,src/components/NouPost.jsx,214,,flex items-center gap-4 bg-slate-50 p-4 rounded-2xl border border-slate-100,2,
NouPost.jsx,src/components/NouPost.jsx,215,,flex-1,2,
NouPost.jsx,src/components/NouPost.jsx,216,,text-sm truncate text-slate-700 font-medium,1,
NouPost.jsx,src/components/NouPost.jsx,217,,h-2 bg-slate-200 rounded-full overflow-hidden mt-2,1,
PwaUpdater.jsx,src/components/PwaUpdater.jsx,51,,,2,Contenidor simple sense classes/id
PwaUpdater.jsx,src/components/PwaUpdater.jsx,53,,,2,Contenidor simple sense classes/id
PwaUpdater.jsx,src/components/PwaUpdater.jsx,54,,,1,Wrapper Innecessari (1 fill, sense classes)
PwaUpdater.jsx,src/components/PwaUpdater.jsx,55,,,1,Wrapper Innecessari (1 fill, sense classes)
PwaUpdater.jsx,src/components/PwaUpdater.jsx,61,,,1,Wrapper Innecessari (1 fill, sense classes)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,305,,,1,Wrapper Innecessari (1 fill, sense classes)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,307,,,0,DIV Buit (Sense contingut)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,325,,,1,Wrapper Innecessari (1 fill, sense classes)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,330,,,0,DIV Buit (Sense contingut)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,379,,,2,Contenidor simple sense classes/id
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,383,,,1,Wrapper Innecessari (1 fill, sense classes)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,553,,anim-apareixer,6,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,554,,,1,Wrapper Innecessari (1 fill, sense classes)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,596,,anim-apareixer,4,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,609,,,2,Contenidor simple sense classes/id
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,635,,anim-apareixer,4,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,659,,anim-apareixer,4,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,667,,,1,Wrapper Innecessari (1 fill, sense classes)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,679,,,1,Wrapper Innecessari (1 fill, sense classes)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,680,,,1,Wrapper Innecessari (1 fill, sense classes)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,682,,,1,Wrapper Innecessari (1 fill, sense classes)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,688,,,3,Contenidor simple sense classes/id
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,721,,anim-apareixer,5,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,722,,,0,DIV Buit (Sense contingut)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,740,,,1,Wrapper Innecessari (1 fill, sense classes)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,749,,anim-apareixer,6,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,751,,,1,Wrapper Innecessari (1 fill, sense classes)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,760,,,1,Wrapper Innecessari (1 fill, sense classes)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,765,,,1,Wrapper Innecessari (1 fill, sense classes)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,781,,anim-apareixer,6,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,782,,,1,Wrapper Innecessari (1 fill, sense classes)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,791,,,1,Wrapper Innecessari (1 fill, sense classes)
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,834,,,1,Wrapper Innecessari (1 fill, sense classes)
SpriteConsole.jsx,src/components/SpriteConsole.jsx,52,,,1,Wrapper Innecessari (1 fill, sense classes)
SpriteConsole.jsx,src/components/SpriteConsole.jsx,56,,p-4 bg-[var(--sdp-bg-surface)] rounded-md shadow-sm,3,
SpriteConsole.jsx,src/components/SpriteConsole.jsx,59,,grid md:grid-cols-3 gap-4,2,
SpriteConsole.jsx,src/components/SpriteConsole.jsx,60,,md:col-span-1 space-y-3,7,
SpriteConsole.jsx,src/components/SpriteConsole.jsx,74,,flex gap-2 mt-2,3,
SpriteConsole.jsx,src/components/SpriteConsole.jsx,83,,md:col-span-2 flex gap-4,2,
SpriteConsole.jsx,src/components/SpriteConsole.jsx,84,,[Expressió Dinàmica],1,
SpriteConsole.jsx,src/components/SpriteConsole.jsx,88,,w-48 p-2 bg-slate-900 rounded text-xs text-slate-300,2,
SpriteConsole.jsx,src/components/SpriteConsole.jsx,89,,font-medium mb-2,1,
SpriteConsole.jsx,src/components/SpriteConsole.jsx,90,,,2,Contenidor simple sense classes/id
SpriteConsole.jsx,src/components/SpriteConsole.jsx,91,,text-slate-500,1,
SpriteConsole.jsx,src/components/SpriteConsole.jsx,92,,py-1 border-b border-slate-800,1,
SpriteConsole.jsx,src/components/SpriteConsole.jsx,98,,mt-4 text-xs text-slate-400,1,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,143,,,1,Wrapper Innecessari (1 fill, sense classes)
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,146,,p-2 bg-[var(--sdp-bg-primary)] rounded,1,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,153,,p-4 bg-[var(--sdp-bg-surface)] rounded-md shadow-sm space-y-4,2,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,156,,grid md:grid-cols-3 gap-4,2,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,157,,space-y-3,7,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,168,,flex gap-2 mt-2,2,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,177,,md:col-span-2 space-y-3,3,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,178,,flex gap-3,2,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,179,,flex-1 grid grid-cols-2 gap-3,4,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,186,,w-64 p-2 bg-slate-900 rounded text-xs text-slate-300,2,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,187,,font-medium mb-2,1,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,188,,,2,Contenidor simple sense classes/id
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,189,,text-slate-500,1,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,190,,py-1 border-b border-slate-800,1,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,195,,bg-[var(--sdp-bg-primary)] p-3 rounded,2,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,196,,flex items-center gap-3,3,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,203,,text-xs text-slate-400 mt-2,1,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,206,,bg-[var(--sdp-bg-primary)] p-3 rounded space-y-2,3,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,207,,flex items-center gap-2,5,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,229,,text-xs text-slate-400,2,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,231,,grid grid-cols-2 gap-2 mt-2,2,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,232,,,2,Contenidor simple sense classes/id
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,240,,,2,Contenidor simple sense classes/id
TimelineEditor.jsx,src/components/TimelineEditor.jsx,161,,bg-[var(--sdp-bg-primary)] p-3 rounded space-y-3,2,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,162,,flex items-center justify-between,2,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,164,,flex gap-2,2,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,174,,grid md:grid-cols-2 gap-3,2,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,175,,,3,Contenidor simple sense classes/id
TimelineEditor.jsx,src/components/TimelineEditor.jsx,176,,mb-2 text-xs text-slate-300,1,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,177,,space-y-2,1,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,179,,p-2 bg-slate-800 rounded flex items-start gap-2,3,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,185,,w-6 text-xs text-slate-400,1,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,186,,flex-1,2,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,187,,text-sm font-medium,1,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,188,,text-xs text-slate-400,6,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,190,,flex flex-col gap-1,2,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,198,,mt-3 p-2 bg-slate-900 rounded,2,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,199,,text-xs text-slate-300 mb-2,1,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,204,,,4,Contenidor simple sense classes/id
TimelineEditor.jsx,src/components/TimelineEditor.jsx,205,,mb-2 text-xs text-slate-300,1,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,206,,flex gap-2 mb-2,3,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,212,,mb-2,2,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,220,,mb-2,2,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,268,,flex gap-2,3,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,273,,flex gap-2,1,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,174,,timeline-graphic p-3 bg-[var(--sdp-bg-primary)] rounded,4,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,175,,flex items-center justify-between mb-3,2,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,176,,flex items-center gap-2,3,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,179,,text-sm text-slate-300 ml-3,2,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,182,,flex items-center gap-2,4,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,193,,timeline-canvas relative border border-slate-800 rounded,4,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,195,,absolute left-0 top-0 right-0 h-8 border-b border-slate-800 bg-slate-900 flex items-center,2,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,196,,ml-2 text-xs text-slate-400,1,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,197,,flex-1 relative,2,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,199,,,1,Wrapper Innecessari (1 fill, sense classes)
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,202,,,1,Wrapper Innecessari (1 fill, sense classes)
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,203,,,2,Contenidor simple sense classes/id
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,211,,absolute left-0 top-8 right-0 bottom-0 overflow-auto,1,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,212,,,6,Contenidor simple sense classes/id
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,214,,,0,DIV Buit (Sense contingut)
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,231,,[Expressió Dinàmica],1,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,234,,bar h-full rounded flex items-center justify-between px-2,2,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,243,,text-xs truncate,1,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,244,,flex items-center gap-2,2,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,245,,text-[10px] text-slate-300,2,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,246,,drag-handle,0,DIV Buit (Sense contingut)
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,254,,,0,DIV Buit (Sense contingut)
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,260,,mt-3 grid grid-cols-3 gap-3,2,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,261,,col-span-2 p-3 bg-slate-900 rounded,2,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,262,,text-sm font-medium mb-2 text-white,1,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,266,,text-xs text-slate-400,1,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,268,,space-y-2,4,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,269,,flex gap-2,2,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,273,,grid grid-cols-3 gap-2,3,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,278,,flex items-center gap-2,3,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,281,,text-xs text-slate-300 w-20 text-right,2,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,283,,flex items-center gap-2,3,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,286,,text-xs text-slate-300 w-20 text-right,2,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,292,,text-xs text-slate-400,1,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,296,,p-3 bg-slate-900 rounded,2,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,297,,text-sm font-medium mb-2 text-white,1,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,324,,flex gap-2,3,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,329,,flex gap-2,1,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,102,,timeline-mobile p-3 bg-slate-900 rounded-2xl shadow-xl border border-slate-800,2,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,103,,flex items-center justify-between mb-4,2,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,104,,text-sm font-semibold text-white,1,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,108,,space-y-3,1,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,110,,bg-slate-800 p-3 rounded-xl flex items-center gap-3 border border-slate-700,3,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,111,,w-8 text-xs text-slate-400 font-mono font-bold,1,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,113,,flex-1,5,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,114,,text-sm font-medium truncate text-white,1,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,115,,text-xs text-slate-400 font-mono mt-1,1,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,117,,mt-3 relative h-12 bg-slate-900 rounded-lg overflow-hidden border border-slate-700,1,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,118,,,2,Contenidor simple sense classes/id
TimelineMobile.jsx,src/components/TimelineMobile.jsx,133,,,2,Contenidor simple sense classes/id
TimelineMobile.jsx,src/components/TimelineMobile.jsx,134,,,0,DIV Buit (Sense contingut)
TimelineMobile.jsx,src/components/TimelineMobile.jsx,138,,mt-3 flex items-center gap-2,3,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,139,,text-xs text-slate-400 font-medium,1,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,141,,text-xs w-16 text-right text-slate-300,2,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,144,,mt-2 flex items-center gap-2,3,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,145,,text-xs text-slate-400 font-medium,1,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,147,,text-xs w-16 text-right text-slate-300,2,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,151,,flex flex-col gap-2,2,
UniversalCard.jsx,src/components/UniversalCard.jsx,6,,bg-white border border-slate-200 p-4 rounded-2xl shadow-sm hover:shadow-md transition-shadow relative overflow-hidden,5,
UniversalCard.jsx,src/components/UniversalCard.jsx,7,,flex items-center gap-3 mb-3,2,
UniversalCard.jsx,src/components/UniversalCard.jsx,8,,w-10 h-10 bg-slate-200 rounded-full flex items-center justify-center font-bold text-slate-500,1,
UniversalCard.jsx,src/components/UniversalCard.jsx,11,,,2,Contenidor simple sense classes/id
UniversalCard.jsx,src/components/UniversalCard.jsx,12,,font-semibold,1,
UniversalCard.jsx,src/components/UniversalCard.jsx,13,,text-xs text-slate-400,1,
UniversalCard.jsx,src/components/UniversalCard.jsx,26,,mb-4 text-orange-600 font-bold text-xl,1,
UniversalCard.jsx,src/components/UniversalCard.jsx,31,,flex gap-2 text-sm border-t pt-3 mt-2 border-slate-100,2,
UniversalCardAnimat.jsx,src/components/UniversalCardAnimat.jsx,40,,flex items-start gap-3,2,
UniversalCardAnimat.jsx,src/components/UniversalCardAnimat.jsx,41,,w-12 h-12 rounded-full bg-gradient-to-br from-amber-200 to-orange-400 flex items-center justify-center text-slate-800 font-bold text-xl shadow-sm,1,
UniversalCardAnimat.jsx,src/components/UniversalCardAnimat.jsx,45,,flex-1,3,
UniversalCardAnimat.jsx,src/components/UniversalCardAnimat.jsx,49,,mt-4 flex items-center gap-3 border-t border-slate-100 pt-4,3,
WaitingForBackend.jsx,src/components/boundaries/WaitingForBackend.jsx,82,,fixed bottom-[80px] left-1/2 -translate-x-1/2 z-50 bg-[#F97316] text-white px-4 py-2 rounded-full shadow-lg border border-white/20 flex items-center space-x-2 animate-bounce-subtle pointer-events-none,2,
ContentWithShortcodes.jsx,src/components/core/ContentWithShortcodes.jsx,62,,h-48 rounded-2xl bg-black/5 dark:bg-white/5 animate-pulse w-full h-full,0,DIV Buit (Sense contingut)
ContentWithShortcodes.jsx,src/components/core/ContentWithShortcodes.jsx,86,,h-48 rounded-2xl bg-black/5 dark:bg-white/5 animate-pulse w-full h-full,0,DIV Buit (Sense contingut)
ContentWithShortcodes.jsx,src/components/core/ContentWithShortcodes.jsx,109,,h-48 rounded-2xl bg-black/5 dark:bg-white/5 animate-pulse w-full h-full,0,DIV Buit (Sense contingut)
ContentWithShortcodes.jsx,src/components/core/ContentWithShortcodes.jsx,132,,h-48 rounded-2xl bg-black/5 dark:bg-white/5 animate-pulse w-full h-full,0,DIV Buit (Sense contingut)
ContentWithShortcodes.jsx,src/components/core/ContentWithShortcodes.jsx,153,,my-4 p-4 border border-dashed border-red-500/50 rounded-xl bg-red-500/10 text-red-500 text-xs font-mono text-center,5,
ContentWithShortcodes.jsx,src/components/core/ContentWithShortcodes.jsx,161,,content-with-shortcodes w-full,3,
ContentWithShortcodes.jsx,src/components/core/ContentWithShortcodes.jsx,164,,w-full text-left mb-6 app-cms-content prose prose-lg dark:prose-invert max-w-none text-[var(--text-primary)],1,
ContentWithShortcodes.jsx,src/components/core/ContentWithShortcodes.jsx,179,,flex items-center justify-end mb-[30px] overflow-x-auto no-scrollbar scroll-smooth w-full mt-[30px],1,
