Component,Arxiu,Linia,Patró Estructural,Sospitós?,Num Fills,Classes CSS
AppSkeleton.jsx,src/app/AppSkeleton.jsx,17,Wrapper d'Expressió {},SÍ: Wrapper inútil sense estils,1,
AppSkeleton.jsx,src/app/AppSkeleton.jsx,25,BUIT (Possible Basura),No,0,skeleton-card
Masia.jsx,src/app/Masia.jsx,11,Contenidor Mixt,No,2,
Masia.jsx,src/app/Masia.jsx,23,Contenidor Mixt,No,4,masia-contenidor
Masia.jsx,src/app/Masia.jsx,27,Wrapper d'Expressió {},No,1,estat-connexio
SystemGuardian.jsx,src/app/SystemGuardian.jsx,62,Contenidor Mixt,No,2,avisador-efímer trellat-entrar
BrasaButton.jsx,src/components/BrasaButton.jsx,40,Wrapper HTML (<button>),No,1,inline-block group
ClauerDeLaTerreta.jsx,src/components/ClauerDeLaTerreta.jsx,37,Contenidor Mixt,No,4,max-w-2xl mx-auto bg-amber-50 dark:bg-neutral-900 p-8 rounded-[var(--radius-mestre;2rem)] shadow-2xl border border-amber-200 dark:border-neutral-800 isolate
ClauerDeLaTerreta.jsx,src/components/ClauerDeLaTerreta.jsx,38,Contenidor Mixt,No,2,flex items-center gap-4 mb-8
ClauerDeLaTerreta.jsx,src/components/ClauerDeLaTerreta.jsx,39,Wrapper de Component (<KeyRound>),No,1,w-16 h-16 bg-amber-200 dark:bg-amber-900/30 text-amber-700 dark:text-[var(--sdp-taronja)] rounded-2xl flex items-center justify-center shadow-inner
ClauerDeLaTerreta.jsx,src/components/ClauerDeLaTerreta.jsx,42,Contenidor Mixt,No,2,
ClauerDeLaTerreta.jsx,src/components/ClauerDeLaTerreta.jsx,49,Contenidor Mixt,No,2,bg-red-100 dark:bg-red-900/20 text-red-700 dark:text-red-400 px-4 py-3 rounded-xl flex items-start gap-3 mb-6 animate-in slide-in-from-top-2
ClauerDeLaTerreta.jsx,src/components/ClauerDeLaTerreta.jsx,55,Wrapper HTML (<div>),No,1,bg-white dark:bg-neutral-800 p-6 rounded-2xl shadow-sm border border-neutral-200 dark:border-neutral-700 mb-8
ClauerDeLaTerreta.jsx,src/components/ClauerDeLaTerreta.jsx,56,Wrapper d'Expressió {},No,1,grid grid-cols-2 md:grid-cols-3 lg:grid-cols-4 gap-4
ClauerDeLaTerreta.jsx,src/components/ClauerDeLaTerreta.jsx,58,Contenidor Mixt,No,2,relative
ClauerVisual.jsx,src/components/ClauerVisual.jsx,59,Contenidor Mixt,No,5,clauer-contenidor
ClauerVisual.jsx,src/components/ClauerVisual.jsx,62,BUIT (Possible Basura),No,0,empremta
ClauerVisual.jsx,src/components/ClauerVisual.jsx,68,Wrapper d'Expressió {},No,1,llista-paraules
ClauerVisual.jsx,src/components/ClauerVisual.jsx,70,Contenidor Mixt,No,3,
ClauerVisual.jsx,src/components/ClauerVisual.jsx,80,Contenidor Mixt,No,3,recuperacio
ClauerVisual.jsx,src/components/ClauerVisual.jsx,88,Wrapper d'Expressió {},No,1,indicador-estat
Mercat.jsx,src/components/Mercat.jsx,21,Contenidor Mixt,No,4,max-w-4xl mx-auto py-8
Mercat.jsx,src/components/Mercat.jsx,22,Contenidor Mixt,No,2,flex flex-col md:flex-row justify-between items-center mb-10 gap-4
Mercat.jsx,src/components/Mercat.jsx,32,Wrapper d'Expressió {},No,1,grid md:grid-cols-2 gap-6
Mercat.jsx,src/components/Mercat.jsx,48,Contenidor Mixt,No,3,text-center py-24 bg-white rounded-3xl border border-slate-100 shadow-sm mt-8
Mercat.jsx,src/components/Mercat.jsx,49,Contenidor de Text Pura,No,1,mx-auto w-32 h-32 bg-orange-100 rounded-full flex items-center justify-center text-6xl mb-8
MurFeed.jsx,src/components/MurFeed.jsx,24,Contenidor de Text Pura,No,1,text-center py-12 font-medium text-slate-500
MurFeed.jsx,src/components/MurFeed.jsx,28,Contenidor Mixt,No,3,max-w-2xl mx-auto py-8
MurFeed.jsx,src/components/MurFeed.jsx,30,Wrapper HTML (<div>),No,1,mb-10 text-center
MurFeed.jsx,src/components/MurFeed.jsx,31,Wrapper HTML (<p>),No,1,inline-block bg-white p-6 rounded-3xl border-2 border-orange-400 shadow-sm
MurFeed.jsx,src/components/MurFeed.jsx,36,Contenidor Mixt,No,3,space-y-6
MurFeed.jsx,src/components/MurFeed.jsx,52,Contenidor Mixt,No,5,text-center py-20 border-2 border-dashed border-orange-300 rounded-3xl bg-orange-50/50
MurFeed.jsx,src/components/MurFeed.jsx,53,Contenidor de Text Pura,No,1,text-6xl mb-6
MurFeed.jsx,src/components/MurFeed.jsx,57,Contenidor de Text Pura,No,1,mt-8 text-sm text-slate-400 italic
NavigationRail.jsx,src/components/NavigationRail.jsx,22,Contenidor Mixt,No,2,p-4 flex items-center justify-center
NavigationRail.jsx,src/components/NavigationRail.jsx,27,Wrapper d'Expressió {},No,1,flex-1 px-3 py-6 space-y-2
NavigationRail.jsx,src/components/NavigationRail.jsx,44,Wrapper de Component (<NavLink>),No,1,p-4 border-t border-white/10
NouPost.jsx,src/components/NouPost.jsx,113,Wrapper HTML (<div>),No,1,max-w-2xl mx-auto px-4 py-10
NouPost.jsx,src/components/NouPost.jsx,114,Contenidor Mixt,No,6,bg-white border-2 border-orange-400 rounded-3xl p-8 shadow-xl relative overflow-hidden
NouPost.jsx,src/components/NouPost.jsx,117,Wrapper de Component (<Tractor>),No,1,absolute top-0 right-0 p-4 opacity-10 pointer-events-none
NouPost.jsx,src/components/NouPost.jsx,121,Contenidor Mixt,No,2,flex items-center gap-4 mb-8
NouPost.jsx,src/components/NouPost.jsx,122,Contenidor de Text Pura,No,1,w-16 h-16 bg-orange-100 rounded-2xl flex items-center justify-center text-4xl
NouPost.jsx,src/components/NouPost.jsx,123,Contenidor Mixt,No,2,
NouPost.jsx,src/components/NouPost.jsx,130,Contenidor Mixt,No,2,flex gap-4 mb-8
NouPost.jsx,src/components/NouPost.jsx,148,Contenidor Mixt,No,3,
NouPost.jsx,src/components/NouPost.jsx,160,Contenidor Mixt,No,3,
NouPost.jsx,src/components/NouPost.jsx,173,Contenidor Mixt,No,2,grid grid-cols-2 gap-6
NouPost.jsx,src/components/NouPost.jsx,174,Contenidor Mixt,No,2,
NouPost.jsx,src/components/NouPost.jsx,184,Contenidor Mixt,No,2,
NouPost.jsx,src/components/NouPost.jsx,201,Contenidor Mixt,No,3,
NouPost.jsx,src/components/NouPost.jsx,203,Contenidor Mixt,No,2,border-2 border-dashed border-orange-300 rounded-3xl p-8 text-center bg-orange-50/30 hover:bg-orange-50 transition-colors
NouPost.jsx,src/components/NouPost.jsx,206,Wrapper de Component (<Upload>),No,1,text-4xl mb-2
NouPost.jsx,src/components/NouPost.jsx,212,Wrapper d'Expressió {},No,1,mt-6 space-y-4
NouPost.jsx,src/components/NouPost.jsx,214,Contenidor Mixt,No,2,flex items-center gap-4 bg-slate-50 p-4 rounded-2xl border border-slate-100
NouPost.jsx,src/components/NouPost.jsx,215,Contenidor Mixt,No,2,flex-1
NouPost.jsx,src/components/NouPost.jsx,216,Wrapper d'Expressió {},No,1,text-sm truncate text-slate-700 font-medium
NouPost.jsx,src/components/NouPost.jsx,217,BUIT (Possible Basura),No,0,h-2 bg-slate-200 rounded-full overflow-hidden mt-2
PwaUpdater.jsx,src/components/PwaUpdater.jsx,51,Contenidor Mixt,No,2,
PwaUpdater.jsx,src/components/PwaUpdater.jsx,53,Contenidor Mixt,No,2,
PwaUpdater.jsx,src/components/PwaUpdater.jsx,54,Contenidor de Text Pura,SÍ: Wrapper inútil sense estils,1,
PwaUpdater.jsx,src/components/PwaUpdater.jsx,55,Wrapper HTML (<button>),SÍ: Wrapper inútil sense estils,1,
PwaUpdater.jsx,src/components/PwaUpdater.jsx,61,Contenidor de Text Pura,SÍ: Wrapper inútil sense estils,1,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,305,Wrapper d'Expressió {},SÍ: Wrapper inútil sense estils,1,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,307,BUIT (Possible Basura),SÍ: Buit i sense classes,0,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,325,Wrapper d'Expressió {},SÍ: Wrapper inútil sense estils,1,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,330,BUIT (Possible Basura),SÍ: Buit i sense classes,0,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,379,Contenidor Mixt,No,2,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,383,Wrapper d'Expressió {},SÍ: Wrapper inútil sense estils,1,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,553,Contenidor Mixt,No,6,anim-apareixer
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,554,Contenidor de Text Pura,SÍ: Wrapper inútil sense estils,1,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,596,Contenidor Mixt,No,4,anim-apareixer
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,609,Contenidor Mixt,No,2,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,635,Contenidor Mixt,No,4,anim-apareixer
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,659,Contenidor Mixt,No,4,anim-apareixer
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,667,Wrapper d'Expressió {},SÍ: Wrapper inútil sense estils,1,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,679,Wrapper d'Expressió {},SÍ: Wrapper inútil sense estils,1,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,680,Wrapper d'Expressió {},SÍ: Wrapper inútil sense estils,1,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,682,Contenidor de Text Pura,SÍ: Wrapper inútil sense estils,1,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,688,Contenidor Mixt,No,3,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,721,Contenidor Mixt,No,5,anim-apareixer
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,722,BUIT (Possible Basura),SÍ: Buit i sense classes,0,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,740,Wrapper d'Expressió {},SÍ: Wrapper inútil sense estils,1,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,749,Contenidor Mixt,No,6,anim-apareixer
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,751,Contenidor de Text Pura,SÍ: Wrapper inútil sense estils,1,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,760,Wrapper d'Expressió {},SÍ: Wrapper inútil sense estils,1,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,765,Wrapper HTML (<p>),SÍ: Wrapper inútil sense estils,1,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,781,Contenidor Mixt,No,6,anim-apareixer
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,782,Contenidor de Text Pura,SÍ: Wrapper inútil sense estils,1,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,791,Wrapper d'Expressió {},SÍ: Wrapper inútil sense estils,1,
RecuperacioDelMas.jsx,src/components/RecuperacioDelMas.jsx,834,Wrapper d'Expressió {},SÍ: Wrapper inútil sense estils,1,
SpriteConsole.jsx,src/components/SpriteConsole.jsx,52,Contenidor de Text Pura,SÍ: Wrapper inútil sense estils,1,
SpriteConsole.jsx,src/components/SpriteConsole.jsx,56,Contenidor Mixt,No,3,p-4 bg-[var(--sdp-bg-surface)] rounded-md shadow-sm
SpriteConsole.jsx,src/components/SpriteConsole.jsx,59,Contenidor Mixt,No,2,grid md:grid-cols-3 gap-4
SpriteConsole.jsx,src/components/SpriteConsole.jsx,60,Contenidor Mixt,No,7,md:col-span-1 space-y-3
SpriteConsole.jsx,src/components/SpriteConsole.jsx,74,Contenidor Mixt,No,3,flex gap-2 mt-2
SpriteConsole.jsx,src/components/SpriteConsole.jsx,83,Contenidor Mixt,No,2,md:col-span-2 flex gap-4
SpriteConsole.jsx,src/components/SpriteConsole.jsx,84,Wrapper de Component (<SpriteComponent>),No,1,[Expressió Dinàmica]
SpriteConsole.jsx,src/components/SpriteConsole.jsx,88,Contenidor Mixt,No,2,w-48 p-2 bg-slate-900 rounded text-xs text-slate-300
SpriteConsole.jsx,src/components/SpriteConsole.jsx,89,Contenidor de Text Pura,No,1,font-medium mb-2
SpriteConsole.jsx,src/components/SpriteConsole.jsx,90,Contenidor Mixt,No,2,
SpriteConsole.jsx,src/components/SpriteConsole.jsx,91,Contenidor de Text Pura,No,1,text-slate-500
SpriteConsole.jsx,src/components/SpriteConsole.jsx,92,Wrapper d'Expressió {},No,1,py-1 border-b border-slate-800
SpriteConsole.jsx,src/components/SpriteConsole.jsx,98,Contenidor de Text Pura,No,1,mt-4 text-xs text-slate-400
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,143,Contenidor de Text Pura,SÍ: Wrapper inútil sense estils,1,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,146,Wrapper de Component (<Comp>),No,1,p-2 bg-[var(--sdp-bg-primary)] rounded
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,153,Contenidor Mixt,No,2,p-4 bg-[var(--sdp-bg-surface)] rounded-md shadow-sm space-y-4
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,156,Contenidor Mixt,No,2,grid md:grid-cols-3 gap-4
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,157,Contenidor Mixt,No,7,space-y-3
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,168,Contenidor Mixt,No,2,flex gap-2 mt-2
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,177,Contenidor Mixt,No,3,md:col-span-2 space-y-3
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,178,Contenidor Mixt,No,2,flex gap-3
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,179,Contenidor Mixt,No,4,flex-1 grid grid-cols-2 gap-3
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,186,Contenidor Mixt,No,2,w-64 p-2 bg-slate-900 rounded text-xs text-slate-300
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,187,Contenidor de Text Pura,No,1,font-medium mb-2
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,188,Contenidor Mixt,No,2,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,189,Contenidor de Text Pura,No,1,text-slate-500
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,190,Wrapper d'Expressió {},No,1,py-1 border-b border-slate-800
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,195,Contenidor Mixt,No,2,bg-[var(--sdp-bg-primary)] p-3 rounded
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,196,Contenidor Mixt,No,3,flex items-center gap-3
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,203,Contenidor de Text Pura,No,1,text-xs text-slate-400 mt-2
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,206,Contenidor Mixt,No,3,bg-[var(--sdp-bg-primary)] p-3 rounded space-y-2
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,207,Contenidor Mixt,No,5,flex items-center gap-2
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,229,Contenidor Mixt,No,2,text-xs text-slate-400
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,231,Contenidor Mixt,No,2,grid grid-cols-2 gap-2 mt-2
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,232,Contenidor Mixt,No,2,
SpriteConsoleExtended.jsx,src/components/SpriteConsoleExtended.jsx,240,Contenidor Mixt,No,2,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,161,Contenidor Mixt,No,2,bg-[var(--sdp-bg-primary)] p-3 rounded space-y-3
TimelineEditor.jsx,src/components/TimelineEditor.jsx,162,Contenidor Mixt,No,2,flex items-center justify-between
TimelineEditor.jsx,src/components/TimelineEditor.jsx,164,Contenidor Mixt,No,2,flex gap-2
TimelineEditor.jsx,src/components/TimelineEditor.jsx,174,Contenidor Mixt,No,2,grid md:grid-cols-2 gap-3
TimelineEditor.jsx,src/components/TimelineEditor.jsx,175,Contenidor Mixt,No,3,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,176,Contenidor de Text Pura,No,1,mb-2 text-xs text-slate-300
TimelineEditor.jsx,src/components/TimelineEditor.jsx,177,Wrapper d'Expressió {},No,1,space-y-2
TimelineEditor.jsx,src/components/TimelineEditor.jsx,179,Contenidor Mixt,No,3,p-2 bg-slate-800 rounded flex items-start gap-2
TimelineEditor.jsx,src/components/TimelineEditor.jsx,185,Wrapper d'Expressió {},No,1,w-6 text-xs text-slate-400
TimelineEditor.jsx,src/components/TimelineEditor.jsx,186,Contenidor Mixt,No,2,flex-1
TimelineEditor.jsx,src/components/TimelineEditor.jsx,187,Wrapper d'Expressió {},No,1,text-sm font-medium
TimelineEditor.jsx,src/components/TimelineEditor.jsx,188,Contenidor Mixt,No,6,text-xs text-slate-400
TimelineEditor.jsx,src/components/TimelineEditor.jsx,190,Contenidor Mixt,No,2,flex flex-col gap-1
TimelineEditor.jsx,src/components/TimelineEditor.jsx,198,Contenidor Mixt,No,2,mt-3 p-2 bg-slate-900 rounded
TimelineEditor.jsx,src/components/TimelineEditor.jsx,199,Contenidor de Text Pura,No,1,text-xs text-slate-300 mb-2
TimelineEditor.jsx,src/components/TimelineEditor.jsx,204,Contenidor Mixt,No,4,
TimelineEditor.jsx,src/components/TimelineEditor.jsx,205,Contenidor de Text Pura,No,1,mb-2 text-xs text-slate-300
TimelineEditor.jsx,src/components/TimelineEditor.jsx,206,Contenidor Mixt,No,3,flex gap-2 mb-2
TimelineEditor.jsx,src/components/TimelineEditor.jsx,212,Contenidor Mixt,No,2,mb-2
TimelineEditor.jsx,src/components/TimelineEditor.jsx,220,Contenidor Mixt,No,2,mb-2
TimelineEditor.jsx,src/components/TimelineEditor.jsx,268,Contenidor Mixt,No,3,flex gap-2
TimelineEditor.jsx,src/components/TimelineEditor.jsx,273,Wrapper HTML (<button>),No,1,flex gap-2
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,174,Contenidor Mixt,No,4,timeline-graphic p-3 bg-[var(--sdp-bg-primary)] rounded
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,175,Contenidor Mixt,No,2,flex items-center justify-between mb-3
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,176,Contenidor Mixt,No,3,flex items-center gap-2
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,179,Contenidor Mixt,No,2,text-sm text-slate-300 ml-3
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,182,Contenidor Mixt,No,4,flex items-center gap-2
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,193,Contenidor Mixt,No,4,timeline-canvas relative border border-slate-800 rounded
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,195,Contenidor Mixt,No,2,absolute left-0 top-0 right-0 h-8 border-b border-slate-800 bg-slate-900 flex items-center
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,196,Contenidor de Text Pura,No,1,ml-2 text-xs text-slate-400
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,197,Contenidor Mixt,No,2,flex-1 relative
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,199,Wrapper d'Expressió {},SÍ: Wrapper inútil sense estils,1,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,202,Wrapper HTML (<div>),SÍ: Wrapper inútil sense estils,1,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,203,Contenidor Mixt,No,2,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,211,Wrapper HTML (<div>),No,1,absolute left-0 top-8 right-0 bottom-0 overflow-auto
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,212,Contenidor Mixt,No,6,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,214,BUIT (Possible Basura),SÍ: Buit i sense classes,0,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,231,Wrapper HTML (<div>),No,1,[Expressió Dinàmica]
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,234,Contenidor Mixt,No,2,bar h-full rounded flex items-center justify-between px-2
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,243,Wrapper d'Expressió {},No,1,text-xs truncate
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,244,Contenidor Mixt,No,2,flex items-center gap-2
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,245,Contenidor Mixt,No,2,text-[10px] text-slate-300
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,246,BUIT (Possible Basura),No,0,drag-handle
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,254,BUIT (Possible Basura),SÍ: Buit i sense classes,0,
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,260,Contenidor Mixt,No,2,mt-3 grid grid-cols-3 gap-3
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,261,Contenidor Mixt,No,2,col-span-2 p-3 bg-slate-900 rounded
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,262,Contenidor de Text Pura,No,1,text-sm font-medium mb-2 text-white
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,266,Contenidor de Text Pura,No,1,text-xs text-slate-400
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,268,Contenidor Mixt,No,4,space-y-2
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,269,Contenidor Mixt,No,2,flex gap-2
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,273,Contenidor Mixt,No,3,grid grid-cols-3 gap-2
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,278,Contenidor Mixt,No,3,flex items-center gap-2
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,281,Contenidor Mixt,No,2,text-xs text-slate-300 w-20 text-right
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,283,Contenidor Mixt,No,3,flex items-center gap-2
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,286,Contenidor Mixt,No,2,text-xs text-slate-300 w-20 text-right
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,292,Contenidor de Text Pura,No,1,text-xs text-slate-400
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,296,Contenidor Mixt,No,2,p-3 bg-slate-900 rounded
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,297,Contenidor de Text Pura,No,1,text-sm font-medium mb-2 text-white
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,324,Contenidor Mixt,No,3,flex gap-2
TimelineGraphic.jsx,src/components/TimelineGraphic.jsx,329,Wrapper HTML (<button>),No,1,flex gap-2
TimelineMobile.jsx,src/components/TimelineMobile.jsx,102,Contenidor Mixt,No,2,timeline-mobile p-3 bg-slate-900 rounded-2xl shadow-xl border border-slate-800
TimelineMobile.jsx,src/components/TimelineMobile.jsx,103,Contenidor Mixt,No,2,flex items-center justify-between mb-4
TimelineMobile.jsx,src/components/TimelineMobile.jsx,104,Contenidor de Text Pura,No,1,text-sm font-semibold text-white
TimelineMobile.jsx,src/components/TimelineMobile.jsx,108,Wrapper d'Expressió {},No,1,space-y-3
TimelineMobile.jsx,src/components/TimelineMobile.jsx,110,Contenidor Mixt,No,3,bg-slate-800 p-3 rounded-xl flex items-center gap-3 border border-slate-700
TimelineMobile.jsx,src/components/TimelineMobile.jsx,111,Wrapper d'Expressió {},No,1,w-8 text-xs text-slate-400 font-mono font-bold
TimelineMobile.jsx,src/components/TimelineMobile.jsx,113,Contenidor Mixt,No,5,flex-1
TimelineMobile.jsx,src/components/TimelineMobile.jsx,114,Wrapper d'Expressió {},No,1,text-sm font-medium truncate text-white
TimelineMobile.jsx,src/components/TimelineMobile.jsx,115,Wrapper d'Expressió {},No,1,text-xs text-slate-400 font-mono mt-1
TimelineMobile.jsx,src/components/TimelineMobile.jsx,117,Wrapper HTML (<div>),No,1,mt-3 relative h-12 bg-slate-900 rounded-lg overflow-hidden border border-slate-700
TimelineMobile.jsx,src/components/TimelineMobile.jsx,118,Contenidor Mixt,No,2,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,133,Contenidor Mixt,No,2,
TimelineMobile.jsx,src/components/TimelineMobile.jsx,134,BUIT (Possible Basura),SÍ: Buit i sense classes,0,
